scientific_name,park_name,observations,category,common_names,conservation_status
hymenostylium recurvirostre,yellowstone national park,277,nonvascular plant,hymenostylium moss,
rauiella scita,yellowstone national park,258,nonvascular plant,rauiella moss,
bromus catharticus,bryce national park,127,vascular plant,"rescue brome, rescue grass, rescuegras, rescuegrass",
xanthium strumarium var. glabratum,yellowstone national park,232,vascular plant,rough cockleburr,
rana clamitans melanota,yosemite national park,151,amphibian,northern green frog,
phacelia vallicola,yosemite national park,142,vascular plant,mariposa phacelia,
adoxa moschatellina,yellowstone national park,250,vascular plant,muskroot,
lemna turionifera,yosemite national park,193,vascular plant,turion duckweed,
entodon macropodus,bryce national park,94,nonvascular plant,entodon moss,
eragrostis pilosa,great smoky mountains national park,36,vascular plant,indian lovegrass,
geranium molle,bryce national park,105,vascular plant,"dovesfoot cranesbill, doves-foot crane's-bill",
laburnum anagyroides,great smoky mountains national park,68,vascular plant,laburnum,
terrapene carolina carolina,bryce national park,88,reptile,eastern box turtle,
arabis holboellii var. pendulocarpa,bryce national park,116,vascular plant,dropseed rockcress,
phacelia ramosissima var. subglabra,yosemite national park,120,vascular plant,branching phacelia,
calandrinia ciliata,yosemite national park,174,vascular plant,"desert rockpurslane, fringed redmaids, redmaids",
cistothorus platensis,yosemite national park,186,bird,sedge wren,
ionactis linariifolius,great smoky mountains national park,72,vascular plant,"flaxleaf aster, ionactis",
viola pedata,yosemite national park,177,vascular plant,"bird's foot violet, bird's-foot violet",
oreothlypis celata,bryce national park,75,bird,orange-crowned warbler,
spermophilus lateralis,yosemite national park,121,mammal,golden-mantled ground squirrel,
lithocarpus densiflorus var. echinoides,yellowstone national park,259,vascular plant,tanoak,
juncus trifidus,great smoky mountains national park,59,vascular plant,highland rush,
sisyrinchium idahoense var. occidentale,yellowstone national park,276,vascular plant,idaho blue-eyed grass,
vitis rotundifolia,yosemite national park,143,vascular plant,"muscadine, muscadine grape",
sherardia arvensis,bryce national park,81,vascular plant,"field madder, silver buffalo-berry",
staphylea trifolia,yosemite national park,136,vascular plant,"american bladdernut, bladdernut",
potamogeton amplifolius,bryce national park,86,vascular plant,"broad-leaved pondweed, large-leaf pondweed",
potamogeton amplifolius,bryce national park,86,vascular plant,largeleaf pondweed,
thalictrum occidentale,great smoky mountains national park,98,vascular plant,"western meadowrue, western meadow-rue",
helianthemum canadense,great smoky mountains national park,81,vascular plant,"canada frostweed, frostweed",
artemisia tridentata ssp. vaseyana,yellowstone national park,223,vascular plant,"big sagebrush, mountain big sagebrush",
verbena urticifolia,yellowstone national park,217,vascular plant,white vervain,
ludwigia alternifolia,bryce national park,67,vascular plant,"alternate-leaved seedbox, bushy seedbox",
andropogon glomeratus,great smoky mountains national park,82,vascular plant,"bushy bluestem, marsh broomsedge",
mimulus douglasii,great smoky mountains national park,99,vascular plant,brownies,
cardamine oligosperma,bryce national park,134,vascular plant,"idaho bittercress, little western bittercress",
camissonia sierrae ssp. sierrae,bryce national park,111,vascular plant,sierra suncup,
ivesia lycopodioides ssp. lycopodioides,bryce national park,118,vascular plant,"clubmoss ivesia, clubmoss mousetail",
poa pratensis ssp. pratensis,great smoky mountains national park,60,vascular plant,kentucky bluegrass,
delphinium nuttallianum,yellowstone national park,268,vascular plant,"low larkspur, nuttall's larkspur, twolobe larkspur, two-lobe larkspur",
poa cusickii,great smoky mountains national park,80,vascular plant,cusick's bluegrass,
strix nebulosa,bryce national park,146,bird,"great gray owl, great grey owl",
strix nebulosa,bryce national park,146,bird,great gray owl,
paxistima myrsinites,great smoky mountains national park,75,vascular plant,"boxleaf, boxleaf myrtle, mountain lover, oregon boxleaf",
mimulus layneae,yosemite national park,148,vascular plant,layne's monkeyflower,
senecio integerrimus var. exaltatus,yellowstone national park,244,vascular plant,"columbia groundsel, columbia ragwort",
eucladium verticillatum,bryce national park,108,nonvascular plant,eucladium moss,
sceloporus graciosus graciosus,yellowstone national park,240,reptile,northern sagebrush lizard,species of concern
dipsacus fullonum,great smoky mountains national park,39,vascular plant,teasel,
dipsacus fullonum,great smoky mountains national park,39,vascular plant,"common teasel, fuller's teasel, teasel, venuscup teasle",
parascalops breweri,great smoky mountains national park,72,mammal,hairy-tailed mole,
chrysemys picta marginata,yellowstone national park,243,reptile,midland painted turtle,
agalinis tenuifolia,great smoky mountains national park,59,vascular plant,"slender false-foxglove, slender gerardia",
clarkia purpurea ssp. viminea,great smoky mountains national park,64,vascular plant,winecup clarkia,
philadelphus sharpianus,great smoky mountains national park,67,vascular plant,sharp's mock-orange,
geum radiatum,bryce national park,25,vascular plant,"mountain avens, spreading avens",endangered
phytolacca americana,great smoky mountains national park,77,vascular plant,"common pokeweed, pokeweed",
solidago erecta,yosemite national park,155,vascular plant,slender golden-rod,
aster patens var. patens,great smoky mountains national park,86,vascular plant,late purple aster,
artemisia ludoviciana ssp. incompta,yellowstone national park,241,vascular plant,"columbia river wormwood, mountain sagewort, white sagebrush",
juncus debilis,bryce national park,79,vascular plant,"rush, weak rush",
stylosanthes biflora,great smoky mountains national park,38,vascular plant,"pencil flower, pencilflower",
monotropsis odorata,yellowstone national park,218,vascular plant,"sweet pinesap, sweet pine-sap",species of concern
goodyera pubescens,yellowstone national park,253,vascular plant,downy rattlesnake-plantain,
astragalus canadensis var. brevidens,yellowstone national park,227,vascular plant,shorttooth canadian milkvetch,
asarum hartwegii,bryce national park,78,vascular plant,hartweg's wildginger,
anoectangium aestivum,yellowstone national park,254,nonvascular plant,anoectangium moss,
salix orestera,yosemite national park,136,vascular plant,sierra willow,
cuscuta californica var. breviflora,yosemite national park,152,vascular plant,"california dodder, chaparral dodder, western dodder",
cypripedium montanum,yosemite national park,136,vascular plant,"mountain lady's slipper, mountain ladyslipper",
desmodium glutinosum,yellowstone national park,255,vascular plant,"large tick-trefoil, whorled tick-trefoil",
galium trifidum,yellowstone national park,228,vascular plant,"small bedstraw, threepetal bedstraw, three-petal bedstraw",
eurycea,yellowstone national park,218,amphibian,brook salamanders,
scleria oligantha,bryce national park,121,vascular plant,"little-headed nutrush, nut-rush",
silene lemmonii,bryce national park,121,vascular plant,lemmon's catchfly,
botrychium oneidense,bryce national park,126,vascular plant,blunt-lobed grape fern,
erigeron simplex,yellowstone national park,275,vascular plant,"oneflower fleabane, onestem daisy, onestem fleabane, one-stem fleabane",
phoradendron densum,great smoky mountains national park,88,vascular plant,dense mistletoe,
carex leporinella,yosemite national park,146,vascular plant,"hare sedge, sierra hare sedge, sierrahare sedge",
cyperus pseudovegetus,great smoky mountains national park,91,vascular plant,marsh flatsedge,
krigia dandelion,yosemite national park,156,vascular plant,"dwarf dandelion, potato dandelion",
muhlenbergia montana,yellowstone national park,257,vascular plant,mountain muhly,
swertia perennis,yosemite national park,168,vascular plant,"alpinebog swertia, felwort, star gentian",
carex squarrosa,yellowstone national park,299,vascular plant,"round-headed sedge, squarrose sedge",
sedum radiatum,great smoky mountains national park,76,vascular plant,coast range stonecrop,
dicentra cucullaria,great smoky mountains national park,79,vascular plant,"dutchman's breeches, dutchman's britches",
hymenophyllum tayloriae,yosemite national park,148,vascular plant,taylor's filmy fern,
epilobium anagallidifolium,yellowstone national park,279,vascular plant,"alpine willowherb, alpine willowweed, pimpernel willowherb",
silene lemmonii,great smoky mountains national park,81,vascular plant,lemmon's catchfly,
parnassia kotzebuei,yosemite national park,165,vascular plant,"kotzebue's grass of parnassus, kotzebue's grass-of-parnassus",
dichanthelium latifolium,bryce national park,89,vascular plant,broad-leaved panic grass,
alnus incana ssp. tenuifolia,great smoky mountains national park,78,vascular plant,"mountain alder, speckled alder, thinleaf alder",
viola lobata ssp. lobata,yellowstone national park,251,vascular plant,pine violet,
stellaria longipes var. longipes,bryce national park,75,vascular plant,"chickweed, longstalk starwort",
bidens cernua,bryce national park,110,vascular plant,"nodding beggar-ticks, stick-tight",
bidens cernua,bryce national park,110,vascular plant,"bur marigold, nodding beggartick, nodding beggarticks, nodding bur marigold, nodding burmarigold, nodding bur-marigold, nodding burr-marigold, sticktight",
viola cucullata,yosemite national park,165,vascular plant,marsh blue violet,
chasmanthium laxum var. sessiliflorum,bryce national park,110,vascular plant,slender woodoats,
eriophorum crinigerum,great smoky mountains national park,87,vascular plant,fringed cottongrass,
gentianella quinquefolia ssp. quinquefolia,yellowstone national park,259,vascular plant,stiff gentian,
luxilus coccogenis,yosemite national park,176,fish,warpaint shiner,
etheostoma gutselli,yellowstone national park,244,fish,tuckasegee darter,
corallorhiza odontorhiza,bryce national park,128,vascular plant,autumn coral-root,
physocarpus opulifolius,bryce national park,93,vascular plant,"eastern ninebark, ninebark",
salvia lyrata,bryce national park,97,vascular plant,"lyre-leaf sage, lyre-leaved sage",
viola lobata ssp. lobata,bryce national park,101,vascular plant,pine violet,
astomum muehlenbergianum,yosemite national park,146,nonvascular plant,muehlenberg's astomum moss,
quercus phellos,bryce national park,120,vascular plant,willow oak,
platanthera flava var. flava,bryce national park,136,vascular plant,palegreen orchid,
comandra umbellata ssp. californica,yellowstone national park,238,vascular plant,"bastard toadflax, california bastard toadflax",
pityopsis graminifolia var. graminifolia,great smoky mountains national park,63,vascular plant,grass-leaved golden aster,
sedum lanceolatum,yosemite national park,159,vascular plant,"lanceleaf stonecrop, lance-leaf stonecrop, spearleaf stonecrop",
eriophorum crinigerum,yosemite national park,155,vascular plant,fringed cottongrass,
dodecatheon hendersonii,bryce national park,101,vascular plant,mosquito bills,
galium trifidum,great smoky mountains national park,127,vascular plant,"small bedstraw, threepetal bedstraw, three-petal bedstraw",
xyris torta,bryce national park,80,vascular plant,"twisted yellow-eyed-grass, yellow-eyed grass",
pseudognaphalium macounii,great smoky mountains national park,86,vascular plant,macoun's cudweed,
muhlenbergia frondosa,bryce national park,88,vascular plant,"muhly, wirestem muhly",
plethodon dorsalis,great smoky mountains national park,91,amphibian,northern zigzag salamander,
ligusticum canadense,yellowstone national park,292,vascular plant,"loveage, nondo lovage",
trillium simile,yellowstone national park,237,vascular plant,sweet white trillium,
rhamnus alnifolia,great smoky mountains national park,23,vascular plant,"alderleaf buckthorn, alder-leaf buckthorn",
myurella sibirica,yosemite national park,133,nonvascular plant,siberian myurella moss,
comandra umbellata,yellowstone national park,242,vascular plant,bastard toadflax,
oncorhynchus clarkii bouvieri,yosemite national park,140,fish,yellowstone cutthroat trout,
hymenostylium recurvirostre,great smoky mountains national park,105,nonvascular plant,hymenostylium moss,
oreothlypis virginiae,bryce national park,84,bird,virginia's warbler,
passiflora incarnata,yosemite national park,152,vascular plant,"passion-flower, may-pop, purple passion-flower",
prunus virginiana var. demissa,bryce national park,82,vascular plant,western chokecherry,
gentianella amarella ssp. acuta,yellowstone national park,239,vascular plant,"autumn dwarf gentian, autumn dwarfgentian, autumn dwarf-gentian",
silene antirrhina,great smoky mountains national park,63,vascular plant,sleepy catchfly,
silene antirrhina,great smoky mountains national park,63,vascular plant,"catchfly, sleepy campion, sleepy catchfly, sleepy silene",
thuidium recognitum,yosemite national park,158,nonvascular plant,thuidium moss,
kummerowia stipulacea,bryce national park,126,vascular plant,korean bush-clover,
phlox glaberrima ssp. triflora,yosemite national park,111,vascular plant,smooth phlox,
nuttallanthus canadensis,yosemite national park,158,vascular plant,old-field toadflax,
sanguinaria canadensis,yosemite national park,149,vascular plant,bloodroot,
rubus hispidus,yellowstone national park,278,vascular plant,"bristley dewberry, swamp dewberry",
lomatium macrocarpum,yosemite national park,134,vascular plant,"bigseed biscuitroot, bigseed lomatium, largefruit biscuitroot, large-fruit desert-parsley, long mamma",
solidago arguta,great smoky mountains national park,69,vascular plant,"cutleaf goldenrod, sharp-leaved goldenrod",
hylocomium splendens,bryce national park,101,nonvascular plant,splendid feather moss,
teucrium canadense var. canadense,great smoky mountains national park,64,vascular plant,"american germander, canada germander",
silene rotundifolia,yosemite national park,133,vascular plant,"roundleaf catchfly, round-leaved campion",
euphorbia corollata,great smoky mountains national park,53,vascular plant,"flowering spruge, flowering spurge",
dichanthelium dichotomum var. dichotomum,great smoky mountains national park,131,vascular plant,small panic grass,
selaginella rupestris,great smoky mountains national park,99,vascular plant,northern selaginella,
apocynum androsaemifolium,great smoky mountains national park,101,vascular plant,spreading dogbane,
apocynum androsaemifolium,great smoky mountains national park,101,vascular plant,"bitterroot, flytrap dogbane, spreading dogbane",
aralia spinosa,bryce national park,90,vascular plant,"devil's walking stick, hercules club",
silene armeria,great smoky mountains national park,92,vascular plant,sweet william silene,
viola macloskeyi ssp. pallens,yosemite national park,164,vascular plant,"northern white violet, smooth white violet",
racomitrium microcarpon,great smoky mountains national park,108,nonvascular plant,racomitrium moss,
trautvetteria caroliniensis,bryce national park,75,vascular plant,"carolina tassel-rue, false bugbane",
trautvetteria caroliniensis,bryce national park,75,vascular plant,"carolina bugbane, carolina tassel-rue, falsebugbane",
aster retroflexus,yosemite national park,181,vascular plant,curtis? aster,
polygonum punctatum,great smoky mountains national park,43,vascular plant,"dotted smartweed, punctate smartweed",
orthotrichum stellatum,yosemite national park,178,nonvascular plant,stellate orthotrichum moss,
elymus trachycaulus ssp. subsecundus,yellowstone national park,262,vascular plant,"bearded wheatgrass, slender wheatgrass, slender wild rye",
rhizomnium punctatum,yosemite national park,164,nonvascular plant,rhizomnium moss,
carex microglochin,bryce national park,113,vascular plant,fewseeded bog sedge,
rosa centifolia,yellowstone national park,263,vascular plant,cabbage rose,
calypte anna,yosemite national park,175,bird,anna's hummingbird,
holodiscus discolor,yellowstone national park,233,vascular plant,"creambush, creambush oceanspray, hillside oceanspray, oceanspray",
sorex trowbridgii,great smoky mountains national park,73,mammal,trowbridge's shrew,
epilobium clavatum,yosemite national park,130,vascular plant,"clavatefruit willowweed, clubfruit willowherb, talus willowherb",
erodium botrys,yellowstone national park,281,vascular plant,longbeak stork's bill,
falco columbarius,yosemite national park,122,bird,merlin,species of concern
danthonia unispicata,bryce national park,87,vascular plant,"onespike danthonia, onespike oatgrass",
sida hermaphrodita,bryce national park,104,vascular plant,virginia fanpetals,
triglochin maritima,yosemite national park,149,vascular plant,"arrow-grass, seaside arrowgrass",
downingia montana,yellowstone national park,259,vascular plant,sierra calicoflower,
carex communis var. communis,yellowstone national park,263,vascular plant,fibrousroot sedge,
coragyps atratus,bryce national park,90,bird,black vulture,
thalictrum coriaceum,great smoky mountains national park,82,vascular plant,"leatherleaf meadowrue, stalked-fruited meadowrue",
progne subis,yosemite national park,110,bird,purple martin,species of concern
rumex pulcher,great smoky mountains national park,67,vascular plant,fiddle dock,
bryum lisae var. cuspidatum,bryce national park,112,nonvascular plant,bryum moss,
deschampsia danthonioides,yellowstone national park,233,vascular plant,annual hairgrass,
sparganium americanum,yosemite national park,192,vascular plant,"american bur-reed, bur-reed",
nothocalais troximoides,great smoky mountains national park,66,vascular plant,"false agoseris, weevil prairie-dandelion",
oreostemma alpigenum var. haydenii,great smoky mountains national park,92,vascular plant,"alpine aster, tundra aster",
linum lewisii var. lewisii,yellowstone national park,275,vascular plant,"lewis' flax, prairie flax",
comptonia peregrina,great smoky mountains national park,37,vascular plant,sweet fern,
festuca brachyphylla,yosemite national park,133,vascular plant,alpine fescue,
marmota flaviventris,yosemite national park,143,mammal,yellow-bellied marmot,
verbena bracteata,yellowstone national park,238,vascular plant,"bigbract verbena, bracted vervain, carpet vervain, prostrate verbena, prostrate vervain",
microtus pennsylvanicus,bryce national park,93,mammal,meadow vole,
ambrosia bidentata,yosemite national park,124,vascular plant,lanceleaf ragweed,
smallanthus uvedalius,great smoky mountains national park,55,vascular plant,hairy leafcup,
spigelia marilandica,yosemite national park,149,vascular plant,"indian pink, woodland pinkroot",
carex viridula,great smoky mountains national park,89,vascular plant,"green sedge, little green sedge",
lolium perenne ssp. perenne,yellowstone national park,242,vascular plant,perennial ryegrass,
dendroica petechia,yosemite national park,136,bird,yellow warbler,
ammodramus leconteii,yellowstone national park,213,bird,le conte's sparrow,
ribes aureum var. villosum,bryce national park,97,vascular plant,"buffalo currant, missouri currant",
bubo scandiacus,yellowstone national park,245,bird,snowy owl,
melanitta nigra,yellowstone national park,291,bird,black scoter,
toxostoma rufum,great smoky mountains national park,80,bird,brown thrasher,
rudbeckia hirta var. pulcherrima,yosemite national park,134,vascular plant,narrow-leaved black-eyed susan,
rudbeckia hirta var. pulcherrima,yosemite national park,134,vascular plant,"blackeyed susan, pinewoods coneflower",
hulsea nana,great smoky mountains national park,59,vascular plant,dwarf alpinegold,
elymus villosus,great smoky mountains national park,101,vascular plant,hairy wildrye,
stellula calliope,yosemite national park,127,bird,calliope hummingbird,species of concern
oxytropis campestris var. cusickii,great smoky mountains national park,55,vascular plant,cusick's locoweed,
bolandra californica,yosemite national park,162,vascular plant,sierra false coolwort,
dendroica magnolia,yosemite national park,163,bird,magnolia warbler,
pomoxis nigromaculatus,bryce national park,102,fish,black crappie,
castilleja applegatei ssp. disticha,bryce national park,85,vascular plant,wavyleaf indian paintbrush,
carex willdenowii,bryce national park,65,vascular plant,willdenow's sedge,
aphanorrhegma serratum,bryce national park,94,nonvascular plant,serrate aphanorrhegma moss,
festuca arundinacea,yosemite national park,153,vascular plant,"alta fescue, coarse fescue, reed fescue, tall fescue",
opuntia humifusa,yellowstone national park,248,vascular plant,pricklypear,
cynoglossum virginianum,bryce national park,117,vascular plant,"wild comfrey, blue hound's-tongue",
betula papyrifera var. cordifolia,yosemite national park,148,vascular plant,mountain paper birch,
verbena brasiliensis,yellowstone national park,224,vascular plant,"blue vervain, brazillian vervain",
lycopus virginicus,yellowstone national park,234,vascular plant,"virginia bugleweed, virginia water-horehound",
rhamnus rubra,bryce national park,92,vascular plant,red buckthorn,
antennaria plantaginifolia,yosemite national park,141,vascular plant,"plantain-leaf pussytoes, plantain-leaved pussy toes",
agrostis stolonifera,bryce national park,81,vascular plant,creeping bentgrass,
agrostis stolonifera,bryce national park,81,vascular plant,"carpet bentgrass, creeping bent, creeping bentgrass, redtop, redtop bent, seaside bentgrass, spreading bent",
juncus brevicaudatus,yosemite national park,127,vascular plant,"narrow-panicled rush, short-caudate rush",
juncus brevicaudatus,yosemite national park,127,vascular plant,"narrowpanicle rush, narrow-panicle rush",
clarkia purpurea ssp. quadrivulnera,great smoky mountains national park,93,vascular plant,"winecup clarkia, winecup fairyfan",
agrostis variabilis,great smoky mountains national park,48,vascular plant,mountain bentgrass,
agrostis variabilis,great smoky mountains national park,48,vascular plant,"mountain bentgrass, mountain redtop",
torilis japonica,great smoky mountains national park,80,vascular plant,"erect hedge-parsley, hedge-parsley",
sitta canadensis,yellowstone national park,257,bird,red-breasted nuthatch,
populus balsamifera ssp. trichocarpa,yosemite national park,141,vascular plant,"balsam poplar, black cottonwood",
claytonia nevadensis,great smoky mountains national park,39,vascular plant,sierra springbeauty,
delphinium tricorne,yosemite national park,133,vascular plant,dwarf larkspur,
acrobolbus ciliatus,yosemite national park,131,nonvascular plant,acrobolbus,
packera werneriifolia,yellowstone national park,233,vascular plant,hoary groundsel,
carex leptonervia,yellowstone national park,228,vascular plant,"finely-nerved sedge, nerved sedge",
magnolia fraseri,bryce national park,112,vascular plant,fraser magnolia,
potamogeton foliosus var. foliosus,yosemite national park,176,vascular plant,leafy pondweed,
cardamine bulbosa,yellowstone national park,248,vascular plant,bulbous bittercress,
perdix perdix,bryce national park,93,bird,"gray partridge, grey partridge",
platanthera lacera,great smoky mountains national park,87,vascular plant,"green-fringe orchis, green-fringed orchid",
symphyotrichum shortii,bryce national park,118,vascular plant,short's aster,
desmodium laevigatum,bryce national park,113,vascular plant,"smooth tick-treefoil, smooth tick-trefoil",
carex flava,great smoky mountains national park,107,vascular plant,yellow sedge,
murdannia keisak,yellowstone national park,270,vascular plant,aneilema,
muhlenbergia schreberi,yosemite national park,122,vascular plant,"drop-seed, schreber muhly",
muhlenbergia schreberi,yosemite national park,122,vascular plant,"nimblewill, nimblewill muhly",
adiantum jordanii,yosemite national park,155,vascular plant,"california maidenhair, california maidenhair fern",
arabis lyallii var. lyallii,yosemite national park,174,vascular plant,lyall's rockcress,
carduelis tristis,yosemite national park,141,bird,american goldfinch,
viola sagittata var. ovata,yosemite national park,197,vascular plant,arrowleaf violet,
salix caprea,yosemite national park,127,vascular plant,goat willow,
aureolaria laevigata,yosemite national park,156,vascular plant,"downy yellow foxglove, smooth gerardia",
juncus biflorus,great smoky mountains national park,98,vascular plant,two-flowered rush,
viburnum rufidulum,bryce national park,122,vascular plant,rusty blackhaw,
ondatra zibethicus,yosemite national park,165,mammal,muskrat,
ondatra zibethicus,yosemite national park,165,mammal,"common muskrat, muskbeaver, muskrat",
chasmanthium laxum ssp. sessiliflorum,yosemite national park,151,vascular plant,sessil-leaved spanglegrass,
elymus repens,great smoky mountains national park,76,vascular plant,quackgrass,
viola tripartita,great smoky mountains national park,79,vascular plant,"oval-leaved violet, three-parted violet",
platycladus orientalis,yellowstone national park,274,vascular plant,oriental white cedar,
cystopteris protrusa,great smoky mountains national park,46,vascular plant,lowland brittle fern,
symphyotrichum undulatum,great smoky mountains national park,82,vascular plant,"wavyleaf aster, waxyleaf aster",
packera pseudaurea,bryce national park,104,vascular plant,falsegold groundsel,
setophaga petechia,yosemite national park,166,bird,yellow warbler,
falco columbarius,bryce national park,94,bird,merlin,species of concern
agrostis idahoensis,bryce national park,91,vascular plant,"idaho bentgrass, idaho redtop",
veronica arvensis,yosemite national park,136,vascular plant,corn speedwell,
veronica arvensis,yosemite national park,136,vascular plant,"common speedwell, corn speedwell, rock speedwell, wall speedwell",
potentilla glandulosa ssp. glandulosa,yellowstone national park,220,vascular plant,sticky cinquefoil,
agrostis stolonifera,yosemite national park,156,vascular plant,creeping bentgrass,
agrostis stolonifera,yosemite national park,156,vascular plant,"carpet bentgrass, creeping bent, creeping bentgrass, redtop, redtop bent, seaside bentgrass, spreading bent",
perideridia howellii,bryce national park,76,vascular plant,howell's yampah,
cardellina pusilla,yellowstone national park,240,bird,wilson's warbler,
carex mariposana,yellowstone national park,249,vascular plant,mariposa sedge,
alces alces shirasi,yellowstone national park,245,mammal,yellowstone moose,
rubus laciniatus,great smoky mountains national park,42,vascular plant,"cutleaf blackberry, cut-leaved blackberry",
carex amphibola,great smoky mountains national park,75,vascular plant,eastern narrowleaf sedge,
eriogonum nudum,yellowstone national park,228,vascular plant,"naked buckwheat, nakedstem buckwheat",
atriplex patula,yellowstone national park,214,vascular plant,"halberd-leaf orache, spear orach, spear saltbush, spear saltweed, spear-scale, spreading orache",
ranunculus acris,great smoky mountains national park,117,vascular plant,"tall buttercup, tall butter-cup",
desmodium laevigatum,yellowstone national park,288,vascular plant,"smooth tick-treefoil, smooth tick-trefoil",
limnanthes alba ssp. versicolor,great smoky mountains national park,84,vascular plant,white meadowfoam,
dryopteris arguta,yellowstone national park,249,vascular plant,coastal woodfern,
castilleja coccinea,yosemite national park,156,vascular plant,"indian paint-brush, scarlet indian-paintbrush",
allium geyeri var. tenerum,bryce national park,73,vascular plant,bulbil onion,
coreopsis major,bryce national park,101,vascular plant,wood tickseed,
allium cernuum,yosemite national park,146,vascular plant,nodding onion,
erigeron annuus,yosemite national park,142,vascular plant,"daisy-fleabane, white-top fleabane",
erigeron annuus,yosemite national park,142,vascular plant,"annual fleabane, eastern daisy fleabane",
viola canadensis var. corymbosa,yosemite national park,141,vascular plant,canadian violet,
anas crecca,yosemite national park,152,bird,green-winged teal,
melissa officinalis,great smoky mountains national park,99,vascular plant,"common balm, garden balm",
stellaria longifolia,great smoky mountains national park,64,vascular plant,"longleaf stitchwort, long-leaved stitchwort",
stellaria longifolia,great smoky mountains national park,64,vascular plant,"longleaf chickweed, longleaf starwort, long-leaf starwort",
ranunculus pusillus,yellowstone national park,253,vascular plant,"aquatic buttercup, pursh buttercup",
equisetum arvense,great smoky mountains national park,87,vascular plant,field horsetail,
equisetum arvense,great smoky mountains national park,87,vascular plant,"common horsetail, field horsetail, scouringrush, western horsetail",
carum carvi,bryce national park,53,vascular plant,caraway,
carum carvi,bryce national park,53,vascular plant,"caraway, wild caraway",
lotus humistratus,great smoky mountains national park,69,vascular plant,"foothill deervetch, maresfat",
centaurea maculosa,yosemite national park,143,vascular plant,spotted knapweed,
fothergilla major,great smoky mountains national park,85,vascular plant,"mountain witchalder, mountain witch-alder",
cyprinus carpio,great smoky mountains national park,31,fish,common carp,
rhexia mariana var. mariana,yellowstone national park,230,vascular plant,maryland meadowbeauty,
convallaria majalis,bryce national park,105,vascular plant,"european lily-of-the-valley, lily-of-the-valley",
sylvilagus audubonii,yosemite national park,174,mammal,desert cottontail,
houstonia purpurea var. purpurea,bryce national park,78,vascular plant,venus' pride,
claytonia nevadensis,yellowstone national park,249,vascular plant,sierra springbeauty,
gentianella tenella ssp. tenella,yosemite national park,171,vascular plant,"dane's dwarf gentian, dane's dwarfgentian",
ribes lasianthum,yosemite national park,140,vascular plant,alpine gooseberry,
sibara virginica,great smoky mountains national park,32,vascular plant,"sibara, virginia rockcress",
sphenosciadium capitellatum,bryce national park,130,vascular plant,"button parsley, woollyhead parsnip",
rhododendron viscosum,yellowstone national park,267,vascular plant,"clammy azalea, swamp azalea",
mentzelia decapetala,great smoky mountains national park,58,vascular plant,"evening starflower, gumbo-lily, tenpetal blazingstar, tenpetal mentzelia, tenpetal stickleaf",
dichanthelium depauperatum,yosemite national park,162,vascular plant,"green panic-grass, panic grass",
pelecanus erythrorhynchos,yellowstone national park,246,bird,american white pelican,species of concern
arabis glabra var. glabra,bryce national park,89,vascular plant,"rock cress, tower rockcress",
triglochin concinna var. debilis,great smoky mountains national park,95,vascular plant,desert arrow-grass,
crepis atribarba,great smoky mountains national park,92,vascular plant,"hawksbeard, slender hawksbeard",
phasianus colchicus,yosemite national park,149,bird,"common pheasant, ring-necked pheasant",
schoenoplectus tabernaemontani,yosemite national park,151,vascular plant,"great bulrush, softstem bulrush, soft-stem bulrush",
dicranum scoparium,bryce national park,115,nonvascular plant,dicranum moss,
carex praegracilis,yosemite national park,174,vascular plant,"clustered field sedge, slim sedge",
lonicera korolkowii,yellowstone national park,250,vascular plant,small-leaved honeysuckle,
sericocarpus linifolius,yosemite national park,133,vascular plant,narrowleaf whitetop aster,
bromus grandis,bryce national park,100,vascular plant,tall brome,
pohlia wahlenbergii,yosemite national park,155,nonvascular plant,wahlenberg's pohlia moss,
iris pseudacorus,yosemite national park,142,vascular plant,yellow european iris,
sequoiadendron giganteum,great smoky mountains national park,70,vascular plant,"giant redwood, giant sequoia, sierra redwood",
poa arida,yosemite national park,161,vascular plant,plains bluegrass,
amphispiza bilineata,bryce national park,89,bird,black-throated sparrow,
spea bombifrons,great smoky mountains national park,72,amphibian,plains spadefoot,
ranunculus alismifolius var. alismellus,bryce national park,83,vascular plant,plantainleaf buttercup,
lolium arundinaceum,great smoky mountains national park,88,vascular plant,tall fescue,
lolium perenne,yosemite national park,136,vascular plant,perennial ryegrass,
lolium perenne,yosemite national park,136,vascular plant,"italian ryegrass, perennial rye grass, perennial ryegrass",
melica mutica,great smoky mountains national park,73,vascular plant,"narrow melic grass, melic grass",
cerastium brachypetalum,yosemite national park,140,vascular plant,"short-petal chickweed, short-petalled chickweed",
phlox paniculata,yellowstone national park,244,vascular plant,summer phlox,
pedicularis canadensis,bryce national park,101,vascular plant,"early wood lousewort, wood betony",
allotropa virgata,great smoky mountains national park,44,vascular plant,sugarstick,
agastache nepetoides,bryce national park,106,vascular plant,"giant hyssop, hyssop",
notothylas orbicularis,yosemite national park,123,nonvascular plant,round notothylas,
physalis pubescens var. integrifolia,yosemite national park,175,vascular plant,husk tomato,
aureolaria pectinata,great smoky mountains national park,72,vascular plant,"comb-leaf oakleach, cut-leaved gerardia",
penstemon cyaneus,yellowstone national park,229,vascular plant,blue penstemon,
arceuthobium occidentale,yellowstone national park,257,vascular plant,"digger pine dwarf mistletoe, gray pine dwarf mistletoe",
